INSERT INTO `tbl_producto` (`id`, `nombre`, `precio`, `imagen`, `cantidad`, `newPrecio`, `description`, `peso`, `img1`, `img2`, `img3`, `img4`, `created_at`, `updated_at`) VALUES
(2, 'Tapas de Desague Aluminio', 20.00, '21320.jpg', 23, 18.00, 'productos en stock', '7689', '', '', '', '', NULL, NULL),
(3, 'Tapas de Desague', 48.00, '862118.jpg', 32, 38.00, 'productos en stock', '789', '', '', '', '', NULL, NULL),
(4, 'Medidor de Agua', 70.00, '8887.jpg', 91, 63.00, 'producto en stock', '3243', '871810.', '', '', '', NULL, NULL),
(5, 'Inodoro One', 490.00, '393963.jpg', 24, 434.00, 'productos en stock', '5440', '', '', '', '', NULL, NULL),
(6, 'Inodoro One Piece', 598.00, '439874.jpg', 86, 430.00, 'productos en stock', '657', '', '', '', '', NULL, NULL),
(7, 'Inodoro One Piece Vinciny Blanco', 319.99, '646183.jpg', 92, 302.90, 'productos en stock', '5657', '', '', '', '', NULL, NULL),
(8, 'Asiento Para Inodoro', 22.00, '91480.jpg', 92, 18.00, 'productos en stock', '567', '', '', '', '', NULL, NULL),
(9, 'One Piece', 40.00, '58634.jpg', 83, 38.00, 'productos en stock', '456', '', '', '', '', NULL, NULL),
(10, 'One Piece', 45.00, '626714.jpg', 86, 36.00, 'productos en stock', '46', '', '', '', '', NULL, NULL),
(11, 'Inodoro Rapid Jet blanco', 130.00, '746368.jpg', 433, 99.00, 'producto en stock', '432', '', '', '', '', NULL, NULL),
(12, 'Inodoro One Piece Vinciny Blanco', 319.90, '292997.jpg', 23, 288.00, 'producto en stock', '4324', '728864.', '', '', '', NULL, NULL),
(13, 'Tanque Baño', 125.00, '985221.jpg', 32, 100.00, 'productos en stock', '36', '', '', '', '', NULL, NULL),
(14, 'One Piece Tapa', 45.00, '602059.jpg', 34, 40.00, 'productos en stock', '564', '', '', '', '', NULL, NULL),
(15, 'Tapa de inodoro', 19.00, '258283.jpg', 93, 15.00, 'productos en stock', '65', '', '', '', '', NULL, NULL),
(16, 'Tanque laguna blanco', 120.00, '286794.jpg', 41, 98.00, 'productos en stock', '2400', '', '', '', '', NULL, NULL),
(17, 'Caja de Luz', 26.00, '829072.jpg', 27, 17.00, 'productos en stock', '7864', '', '', '', '', NULL, NULL),
(18, 'Caja de Luz	', 24.00, '997571.jpg', 30, 16.00, 'productos en stock', '755', '', '', '', '', NULL, NULL),
(19, 'Pegamento Chema', 20.00, '310719.jpg', 634, 16.00, 'productos en stock', '3452', '', '', '', '', NULL, NULL),
(20, 'Pegamento Trebol', 18.00, '575093.jpg', 563, 16.00, 'productos en stock', '4352', '', '', '', '', NULL, NULL),
(21, 'Perfil de Aluminio Mate', 14.00, '253617.jpg', 56, 12.00, 'productos en stock', '452', '', '', '', '', NULL, NULL),
(22, 'Perfil de Aluminio Brillante', 14.00, '192810.jpg', 34, 13.00, 'productos en stock', '452', '', '', '', '', NULL, NULL),
(23, 'Perfil de Aluminio Mate L', 12.00, '265503.jpg', 345, 14.00, 'productos en stock', '425', '', '', '', '', NULL, NULL),
(24, 'Perfil de Plastico', 3.50, '985876.jpg', 86, 3.00, 'productos en stock', '5245', '', '', '', '', NULL, NULL),
(25, 'Perfil de Plastico', 3.50, '685345.jpg', 86, 3.00, 'productos en stock', '463', '', '', '', '', NULL, NULL),
(26, 'Perfil de Plastico', 2.50, '963695.jpg', 65, 45.00, 'productos en stock', '536', '', '', '', '', NULL, NULL),
(27, 'Perfil de Plastico', 2.50, '663842.jpg', 34, 34.00, 'productos en stock', '634', '', '', '', '', NULL, NULL),
(28, 'Perfil de Plastico', 2.50, '190818.jpg', 32, 45.00, 'productos en stock', '534', '', '', '', '', NULL, NULL),
(29, 'Perfil de Plastico', 2.50, '734798.jpg', 43, 44.00, 'productos en stock', '3564', '', '', '', '', NULL, NULL),
(30, 'Cantonera 2 pulgadas', 78.00, '121674.jpg', 49, 74.00, 'productos en stock', '930', '', '', '', '', NULL, NULL),
(31, 'Cantoneras 1 1/2 pulgada', 64.00, '687350.jpg', 456, 61.00, 'productos en stock', '764', '', '', '', '', NULL, NULL),
(32, 'Cantoneras', 12.00, '429629.jpg', 43, 53.00, 'productos en stock', '364', '', '', '', '', NULL, NULL),
(33, 'Nivelador', 25.00, '878948.jpg', 76, 45.00, 'productos en stock', '5463', '', '', '', '', NULL, NULL),
(34, 'Niveladore', 15.00, '334349.jpg', 65, 56.00, 'productos en stock', '4352', '', '', '', '', NULL, NULL),
(35, 'Tubo de Agua (Nicol)', 17.00, '973462.jpg', 134, 15.00, 'productos en stock', '4352', '', '', '', '', NULL, NULL),
(36, 'Tubo de Luz', 4.80, '610191.jpg', 650, 3.40, 'productos en stock', '90', '', '', '', '', NULL, NULL),
(37, 'Codo Luz (Nicol) 1/2', 0.50, '358536.jpg', 16073, 0.40, 'productos en stock ,curvas de luz para instalacion', '12', '', '', '', '', NULL, NULL),
(38, 'Union de Desague (Nicol)	', 9.00, '710004.jpg', 63, 8.00, 'productos en stock', '564', '', '', '', '', NULL, NULL),
(39, 'Codo de Agua 4 (Pavco)	', 12.00, '462759.jpg', 32, 10.00, 'producto en stock', '4345', '', '', '', '', NULL, NULL),
(40, 'Codo de Agua Caliete (Nicol) 45	', 2.00, '924563.jpg', 434, 1.80, 'producto en stock', '23', '', '', '', '', NULL, NULL),
(41, 'Tubo de Desague (Nicol)	', 13.00, '281393.jpg', 34, 65.00, 'producto en stock', '43534', '', '', '', '', NULL, NULL),
(42, 'Tubo de Desague (Nicol)	', 180.00, '824045.jpg', 54, 54.00, 'producto en stock', '345', '', '', '', '', NULL, NULL),
(43, 'Tubo de Desague (Nicol)	', 26.00, '371213.jpg', 43, 43.00, 'producto en stock', '345', '', '', '', '', NULL, NULL),
(44, 'Tubo de Desague (Nico)', 21.00, '340356.jpg', 54, 34.00, 'producto en stock', '453', '', '', '', '', NULL, NULL),
(45, 'Tubo de Desague (Nicol) pesado', 54.00, '197447.jpg', 546, 76.00, 'producto en stock', '345', '', '', '', '', NULL, NULL),
(46, 'Codo de Desague (Nicoll) 4', 15.50, '789375.jpg', 65, 12.00, 'producto en stock', '353', '', '', '', '', NULL, NULL),
(47, 'Codo de Desague (Pavco) 4', 9.00, '357498.jpg', 56, 7.00, 'producto en stock', '435', '', '', '', '', NULL, NULL),
(48, 'Codo 1/2	', 8.00, '108541.jpg', 58, 6.00, 'producto en stock', '345', '', '', '', '', NULL, NULL),
(49, 'Codo 1/2', 8.00, '91969.jpg', 58, 45.00, 'producto en stock', '345', '', '', '', '', NULL, NULL),
(50, 'Tubo de Desague (Nicoll)', 10.00, '205950.jpg', 56, 456.00, 'producto en stock', '435', '', '', '', '', NULL, NULL),
(51, 'Tubo de Luz', 35.00, '940490.jpg', 465, 456.00, 'producto en stock', '3445', '', '', '', '', NULL, NULL),
(52, 'Tubo de Luz', 5.00, '774775.jpg', 564, 675.00, 'producto en stock', '453', '', '', '', '', NULL, NULL),
(53, 'Tubo de Luz', 54.00, '345551.jpg', 45, 56.00, 'producto en stock', '7868', '', '', '', '', NULL, NULL),
(54, 'Tubo de Luz', 3.50, '406257.jpg', 323, 23.00, 'producto en stock', '4234', '', '', '', '', NULL, NULL),
(55, 'Caño Lavatorio', 150.00, '747183.jpg', 56, 567.00, 'producto en stock', '6574', '', '', '', '', NULL, NULL),
(56, 'Caño Lavatorio', 130.00, '958587.jpg', 34, 75.00, 'producto en stock', '456', '', '', '', '', NULL, NULL),
(57, 'Caño Lavatorio', 200.00, '394931.jpg', 45, 75.00, 'producto en stock', '63', '', '', '', '', NULL, NULL),
(58, 'Caño Lavatorio', 110.00, '650358.jpg', 65, 75.00, 'producto en stock', '674', '', '', '', '', NULL, NULL),
(59, 'Caño Lavatorio', 118.00, '712572.jpg', 56, 75.00, 'producto en stock', '754', '', '', '', '', NULL, NULL),
(60, 'Caño de Jardin', 15.00, '848761.jpg', 65, 57.00, 'producto en stock', '665', '', '', '', '', NULL, NULL),
(61, 'Caño de Jardin', 43.00, '323584.jpg', 54, 43.00, 'producto en stock', '6547', '', '', '', '', NULL, NULL),
(62, 'Ocre Bayer', 7.00, '885032.jpg', 564, 46.00, 'producto en stock', '6356', '', '', '', '', NULL, NULL),
(63, 'Ocre Bayer', 7.00, '530828.jpg', 56, 56.00, 'producto en stock', '356', '', '', '', '', NULL, NULL),
(64, 'Ocre Bayer', 5.00, '536233.jpg', 43, 76.00, 'producto en stock', '356', '', '', '', '', NULL, NULL),
(65, 'Tapas de Desague Fierro', 72.00, '472145.jpg', 32, 72.00, 'productos en stock', '342', '', '', '', '', NULL, NULL),
(66, 'Tapas de Desague Fierro', 32.00, '824519.jpg', 32, 23.00, 'productos en stock', '243', '', '', '', '', NULL, NULL),
(67, 'Tapas de Desague Fierro', 62.00, '966327.jpg', 32, 32.00, 'productos en stock', '567', '', '', '', '', NULL, NULL),
(68, 'Martillo', 15.00, '968823.webp', 234, 23.00, 'productos en stock', '355', '', '', '', '', NULL, NULL),
(69, ' Fragua Celima', 5.00, '357985.jpg', 453, 32.00, 'productos en stock', '453', '', '', '', '', NULL, NULL),
(70, ' Fragua Chema', 7.00, '192903.jpg', 545, 23.00, 'productos en stock', '43', '', '', '', '', NULL, NULL),
(71, ' Fragua Trebol', 4.00, '578935.jpg', 464, 34.00, 'productos en stock', '432', '', '', '', '', NULL, NULL),
(72, 'Pegamento Celima', 10.00, '383656.jpg', 563, 34.00, 'productos en stock', '532', '', '', '', '', NULL, NULL),
(86, 'Caja de Luz	', 28.00, '780177.jpg', 32, 65.00, 'productos en stock', '743', '', '', '', '', NULL, NULL),
(87, 'Clavo ', 2.60, '536309.jpg', 346, 2.50, 'productos en stock', '32', '', '', '', '', NULL, NULL),
(88, 'Bolsa de Clavo 1/2', 52.90, '289702.jpg', 96, 48.20, 'producto en stock', '4563', '', '', '', '', NULL, NULL),
(89, 'Clavo', 0.40, '771067.jpg', 864, 0.35, 'producto en stock', '21', '', '', '', '', NULL, NULL),
(90, 'Caja de Clavo 1/2', 173.20, '38684.jpg', 68, 168.30, 'producto en stock', '30000', '', '', '', '', NULL, NULL),
(91, 'Bolsa Clavo Negro 1/2', 38.99, '357112.jpg', 96, 34.50, 'producto en stock', '985', '', '', '', '', NULL, NULL),
(92, 'Clavo', 3.50, '77142.jpg', 5, 53.00, 'productos en stock', '563', '', '', '', '', NULL, NULL),
(93, 'Clavo', 0.90, '411287.jpg', 2, 43.00, 'productos en stock', '635', '', '', '', '', NULL, NULL),
(94, 'Clavo', 4.70, '496028.jpg', 5, 42.00, 'producto en stock', '432', '', '', '', '', NULL, NULL),
(95, 'Clavo Tarugo', 8.30, '112077.jpg', 23, 43.00, 'producto en stock', '432', '', '', '', '', NULL, NULL),
(96, 'Clavo Calaminero', 6.30, '386813.jpg', 43, 7.00, 'producto en stock', '892', '', '', '', '', NULL, NULL),
(97, 'Clavo Calaminero	', 5.70, '615924.jpg', 75, 6.00, 'producto en stock', '723', '', '', '', '', NULL, NULL),
(98, 'Clavo Plastico', 3.40, '635506.jpg', 23, 323.00, 'producto en stock', '230', '', '', '', '', NULL, NULL),
(99, 'Clavo', 8.00, '123101.jpg', 98, 9.00, 'producto en stock', '923', '', '', '', '', NULL, NULL),
(100, 'Clavo Acanalado ', 1.98, '980084.jpg', 45, 3.00, 'producto en stock', '432', '', '', '', '', NULL, NULL),
(101, 'Clavo', 130.00, '482377.jpg', 54, 90.00, 'producto en stock', '234', '', '', '', '', NULL, NULL),
(102, 'Clavo Calaminero', 9.00, '753999.jpg', 344, 3.00, 'producto en stock', '42324', '', '', '', '', NULL, NULL),
(103, 'Tornillo de Madera', 5.60, '184450.jpg', 234, 23.00, 'producto en stock', '325', '', '', '', '', NULL, NULL),
(104, 'Tornillo de Madera	', 3.20, '919743.jpg', 34, 400.00, 'producto en stock', '424', '', '', '', '', NULL, NULL),
(105, 'Tornillo de Madera	', 2.00, '259301.jpg', 23, 2.00, 'producto en stock', '323', '', '', '', '', NULL, NULL),
(106, 'Tornillo de Madera	', 6.70, '615475.jpg', 54, 7.00, 'producto en stock', '234', '', '', '', '', NULL, NULL),
(107, 'Tornillo de Madera	', 4.10, '29803.jpg', 42, 5.00, 'producto en stock', '234', '', '', '', '', NULL, NULL),
(108, 'Tornillo de Madera	', 1.30, '321885.jpg', 53, 3.00, 'producto en stock', '234', '', '', '', '', NULL, NULL),
(109, 'Tornillo', 3.90, '509311.jpg', 46, 5.00, 'producto en stock', '452', '', '', '', '', NULL, NULL),
(110, 'Tornillo de Madera	', 32.00, '250559.jpg', 76, 34.00, 'producto en stock', '423', '', '', '', '', NULL, NULL),
(111, 'Tornillo', 39.00, '475338.jpg', 78, 42.00, 'producto en stock', '623', '', '', '', '', NULL, NULL),
(112, 'Tornillo Anclaje', 3.50, '351122.jpg', 75, 4.00, 'producto en stock', '4624', '', '', '', '', NULL, NULL),
(113, 'Tornillo', 4.30, '842306.jpg', 32, 23.00, 'producto en stock', '344', '', '', '', '', NULL, NULL),
(114, 'Tarugo', 0.90, '966845.jpg', 53, 0.00, 'producto en stock', '234', '', '', '', '', NULL, NULL),
(115, 'Tarugo Madera', 0.90, '558400.jpg', 73, 0.00, 'producto en stock', '4352', '', '', '', '', NULL, NULL),
(116, 'Tarugo Luz', 0.60, '476083.jpg', 0, 34.00, 'producto en stock', '432', '', '', '', '', NULL, NULL),
(117, 'Tarugo Luz	', 9.00, '803614.jpg', 32, 23.00, 'producto en stock', '334', '', '', '', '', NULL, NULL),
(118, 'Tarugo Luz', 2.50, '821304.jpg', 87, 3.00, 'Tarugo de luz para pared con soporte .', '10', '', '', '', '', NULL, NULL),
(119, 'Tornillo de Madera	', 6.70, '283740.jpg', 87, 7.00, 'producto en stock', '203', '', '', '', '', NULL, NULL),
(120, 'Kick Para Baño', 60.00, '715331.jpg', 67, 70.00, 'producto en stock', '324', '', '', '', '', NULL, NULL),
(121, 'Tarugo Luz	', 2.30, '231791.jpg', 65, 43.00, 'producto en stock', '523', '', '', '', '', NULL, NULL),
(122, 'Tarugo Luz	', 2.50, '446008.jpg', 86, 21.00, 'producto en stock', '657', '', '', '', '', NULL, NULL),
(123, 'Tarugo Luz', 2.30, '470114.jpg', 85, 32.00, 'producto en stock', '486', '', '', '', '', NULL, NULL),
(124, 'Tarugo Madera	', 0.80, '895837.jpg', 72, 9.00, 'producto en stock', '657', '', '', '', '', NULL, NULL),
(125, 'Tarugo Madera', 1.00, '266459.jpg', 334, 24.00, 'producto en stock', '44', '', '', '', '', NULL, NULL),
